Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,Capacitor_SMD:C_0805_2012Metric,105.4125,89.9500,-90.0,Bottom
C2,100nF,Capacitor_SMD:C_0805_2012Metric,126.9125,90.0000,-90.0,Bottom
C3,100nF,Capacitor_SMD:C_0805_2012Metric,148.4125,90.0000,-90.0,Bottom
C4,100nF,Capacitor_SMD:C_0805_2012Metric,170.4125,90.0000,-90.0,Bottom
C5,100nF,Capacitor_SMD:C_0805_2012Metric,105.4125,111.0000,-90.0,Bottom
C6,100nF,Capacitor_SMD:C_0805_2012Metric,126.9125,111.0000,-90.0,Bottom
C7,100nF,Capacitor_SMD:C_0805_2012Metric,148.4125,111.0000,-90.0,Bottom
C8,100nF,Capacitor_SMD:C_0805_2012Metric,170.4125,111.0000,-90.0,Bottom
C9,100nF,Capacitor_SMD:C_0805_2012Metric,74.2700,91.0000,180.0,Bottom
C10,100nF,Capacitor_SMD:C_0805_2012Metric,74.2700,114.0000,180.0,Bottom
C11,100nF,Capacitor_SMD:C_0805_2012Metric,181.0000,130.0000,0.0,Bottom
C12,100nF,Capacitor_SMD:C_0805_2012Metric,183.5000,133.5000,-90.0,Bottom
C13,100nF,Capacitor_SMD:C_0805_2012Metric,177.0000,132.5000,90.0,Bottom
C14,100nF,Capacitor_SMD:C_0805_2012Metric,179.0000,136.5000,180.0,Bottom
C15,10µF,Capacitor_SMD:C_0805_2012Metric,161.0000,147.5000,0.0,Bottom
C16,10µF,Capacitor_SMD:C_0805_2012Metric,96.5000,135.5000,180.0,Bottom
C17,10µF,Capacitor_SMD:C_0805_2012Metric,89.5000,141.5000,180.0,Bottom
C18,10µF,Capacitor_SMD:C_0805_2012Metric,144.9125,100.5000,180.0,Bottom
C19,10µF,Capacitor_SMD:C_0805_2012Metric,100.4125,100.5000,180.0,Bottom
D1,GREEN,LED_SMD:LED_0603_1608Metric,118.0000,78.5000,0.0,Top
D2,GREEN,LED_SMD:LED_0603_1608Metric,139.5000,78.5000,0.0,Top
D3,GREEN,LED_SMD:LED_0603_1608Metric,161.0000,78.5000,0.0,Top
D4,GREEN,LED_SMD:LED_0603_1608Metric,183.0000,78.5000,0.0,Top
R1,330,Resistor_SMD:R_0402_1005Metric,123.0000,78.5000,0.0,Top
R2,330,Resistor_SMD:R_0402_1005Metric,144.5000,78.5000,0.0,Top
R3,330,Resistor_SMD:R_0402_1005Metric,166.0000,78.5000,0.0,Top
R4,330,Resistor_SMD:R_0402_1005Metric,188.0000,78.5000,0.0,Top
R5,10K,Resistor_SMD:R_0402_1005Metric,78.0000,86.0000,90.0,Top
R6,10K,Resistor_SMD:R_0402_1005Metric,79.5000,86.0000,90.0,Top
R7,10K,Resistor_SMD:R_0402_1005Metric,81.0000,86.0000,90.0,Top
R8,10K,Resistor_SMD:R_0402_1005Metric,82.5000,86.0000,90.0,Top
R9,10K,Resistor_SMD:R_0402_1005Metric,84.0000,86.0000,90.0,Top
R10,10K,Resistor_SMD:R_0402_1005Metric,85.5000,86.0000,90.0,Top
R11,10K,Resistor_SMD:R_0402_1005Metric,87.0000,86.0000,90.0,Top
R12,10K,Resistor_SMD:R_0402_1005Metric,88.5000,86.0000,90.0,Top
R13,10K,Resistor_SMD:R_0402_1005Metric,78.0000,110.0000,90.0,Top
R14,10K,Resistor_SMD:R_0402_1005Metric,79.5000,110.0000,90.0,Top
R15,10K,Resistor_SMD:R_0402_1005Metric,81.0000,110.0000,90.0,Top
R16,10K,Resistor_SMD:R_0402_1005Metric,82.5000,110.0000,90.0,Top
R17,10K,Resistor_SMD:R_0402_1005Metric,84.0000,110.0000,90.0,Top
R18,10K,Resistor_SMD:R_0402_1005Metric,85.5000,110.0000,90.0,Top
R19,10K,Resistor_SMD:R_0402_1005Metric,87.0000,110.0000,90.0,Top
R20,10K,Resistor_SMD:R_0402_1005Metric,88.5000,110.0000,90.0,Top
R21,10K,Resistor_SMD:R_0805_2012Metric,178.0000,144.1625,-90.0,Bottom
R22,10K,Resistor_SMD:R_0805_2012Metric,181.0000,144.1625,90.0,Bottom
R23,10K,Resistor_SMD:R_0805_2012Metric,184.0000,144.1625,90.0,Bottom
R24,10K,Resistor_SMD:R_0805_2012Metric,177.6600,73.5000,0.0,Top
U1,AS6C8008-55ZIN,Package_SO:TSOP-II-44_10.16x18.41mm_P0.8mm,113.4125,90.0000,0.0,Top
U2,AS6C8008-55ZIN,Package_SO:TSOP-II-44_10.16x18.41mm_P0.8mm,134.9125,90.0000,0.0,Top
U3,AS6C8008-55ZIN,Package_SO:TSOP-II-44_10.16x18.41mm_P0.8mm,156.4125,90.0000,0.0,Top
U4,AS6C8008-55ZIN,Package_SO:TSOP-II-44_10.16x18.41mm_P0.8mm,178.4125,90.0000,0.0,Top
U5,AS6C8008-55ZIN,Package_SO:TSOP-II-44_10.16x18.41mm_P0.8mm,113.4125,111.0000,0.0,Top
U6,AS6C8008-55ZIN,Package_SO:TSOP-II-44_10.16x18.41mm_P0.8mm,134.9125,111.0000,0.0,Top
U7,AS6C8008-55ZIN,Package_SO:TSOP-II-44_10.16x18.41mm_P0.8mm,156.4125,111.0000,0.0,Top
U8,AS6C8008-55ZIN,Package_SO:TSOP-II-44_10.16x18.41mm_P0.8mm,178.4125,111.0000,0.0,Top
U9,ATF1502ASL,Package_QFP:TQFP-44_10x10mm_P0.8mm,180.1625,133.5000,90.0,Top
U10,74HC245,Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm,82.6350,96.1500,90.0,Top
U11,74HC245,Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm,82.6750,119.1500,90.0,Top
