Designator,Qty,Value,Package,Manufacturer,Mfr Part Number,Notes
"U1,U2,U3,U4,U5,U6,U7,U8",8,AS6C8008-55ZIN,TSOP-II-44 (10.16x18.41mm P0.8mm),Alliance Memory,AS6C8008-55ZIN,1Mx8 SRAM 5V 55ns (Z=TSOP-II pkg); ~$13-15 each; order 1-2 spares; populate sequentially: U1+U5=2MB U2+U6=4MB U3+U7=6MB U4+U8=8MB
U9,1,ATF1502ASL,TQFP-44 (10x10mm P0.8mm),Microchip,ATF1502ASL-25AU44,5V CPLD (ASL = 5V; do NOT order ASV which is 3.3V); program via J2 JTAG header; order a spare
"U10,U11",2,74HC245,SOIC-20W (7.5mm wide),TI/Nexperia,SN74HC245DW,Octal bus transceiver 5V; verify WIDE SOIC-20 body (DW/DWR suffix)
J1,1,RAM Connector,Samtec BCS-125-F-D-HE,Samtec,BCS-125-F-D-HE,50-pin 2x25 2.54mm socket strip; footprint verified vs drawing
J2,1,JTAG Header 1x06,PinHeader 2.54mm 1x06 vertical,Generic,,GND/VCC/TDO/TDI/TMS/TCK left-to-right; labeled on silkscreen; for Tigard programmer
J3,1,PDS DTACK header 1x02,PinHeader 2.54mm 1x02 vertical,Generic,,Pin 1 = /DTACK -> PDS B7; Pin 2 = /EXT_DTACK -> PDS B30 (optional)
JP1,1,MODEL jumper 1x02,PinHeader 2.54mm 1x02 vertical,Generic,,OPEN=M5120 non-backlit (9MB total) / CLOSED=M5126 backlit (7MB total). Add one 2.54mm shunt.
"D1,D2,D3,D4",4,GREEN LED,LED_0603 (1608 metric),Generic,,Green indicator LEDs; latch ON when Mac boot probe confirms each bank; board top edge
"R1,R2,R3,R4",4,330,R_0402 (1005 metric),Generic,,Series resistors for D1-D4 LEDs; 330 ohm 1% 1/16W
"R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20",16,10K,R_0402 (1005 metric),Generic,,Pull-down resistors on SD0-SD15 data bus (SRAM side of 74HC245); prevent ghost RAM on unpopulated banks
"R21,R22,R23,R24",4,10K,R_0805 (2012 metric),Generic,,Pull-up resistors on CPLD unused inputs (/AS /DELAY_CS /SLEEP) and MODEL jumper JP1 pin; 5% thick film
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14",14,100nF,C_0805 (2012 metric),Generic,,X7R 50V ceramic decoupling; one per SRAM + U9 + U10 + U11; buy strip of 50+
"C15,C16,C17,C18,C19",5,10uF,C_0805 (2012 metric),Generic,,X5R 16V ceramic bulk decoupling; buy 10+
